Eastern and Southern Africa,Western and Central Africa,Middle East and North Africa,Asia Pacific,Eastern Europe and Central Asia,Western Europe,Northern America,Caribbean,Latin America
Angola,Benin,Afghanistan,Australia,Belarus,Austria,Canada,Barbados,Argentina
Botswana,Burkina Faso,Algeria,Bangladesh,Bulgaria,Belgium,United States of America,Cuba,Bolivia
Burundi,Cameroon,Egypt,Bhutan,Kazakhstan,Denmark,,Dominican Republic,Brazil
Eritrea,Cape Verde,Iran,Cambodia,Kyrgystan,Estonia,,Haiti,Chile
Ethiopia,Central African Republic,Lebanon,China,Moldova,France,,Jamaica,Colombia
Kenya,Democratic Republic of Congo,Morocco,East Timor,Russia,Greece,,Saint Lucia,Costa Rica
Lesotho,Equatorial Guinea,Sudan,India,Tajikistan,Italy,,The Bahamas,Ecuador
Madagascar,Gabon,Tunisa,Indonesia,Ukraine,Spain,,Trinidad and Tobago,El Salvador
Malawi,Gambia,Yemen,Laos,Uzbekistan,Sweden,,,Guatemala
Mozambique,Ghana,,Malaysia,,Switzerland,,,Haiti
Namibia,Guinea,,Mongolia,,United Kingdom,,,Honduras
Rwanda,Ivory Coast,,Mynamar,,,,,Mexico
Somalia,Liberia,,Nepal,,,,,Nicaragua
South Africa,Mali,,New Zealand,,,,,Panama
South Sudan,Mauritania,,Papua New Guinea,,,,,Paraguay
Swaziland,Niger,,Philippines,,,,,Peru
Uganda,Nigeria,,Sri Lanka,,,,,Uruguay
Zambia,Senegal,,Thailand,,,,,Venezuela
Zimbabwe,Sierra Leone,,Vietnam,,,,,
,Republic of Congo,,,,,,,
,Togo,,,,,,,
